Name,Location,Price,Rating,Review,img1,img2,img3
Jetwing Saman Villas,Bentota,414,5,1394,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=3
Anantara Peace Haven Tangalle Resort,Tangalle,234,5,4434,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=3
CoCoBay Unawatuna,Unawatuna,183,4.5,1213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/12/4d/15/cocobay-unawatuna.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/12/4d/15/cocobay-unawatuna.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/12/4d/15/cocobay-unawatuna.jpg?w=1200&h=-1&s=3
Shangri-La Hambantota,Hambanthota,170,4.5,2325,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/8f/bc/d4/shangri-la-hambantota.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/8f/bc/d4/shangri-la-hambantota.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/8f/bc/d4/shangri-la-hambantota.jpg?w=1200&h=-1&s=3
Cinnamon Bentota Beach,Bentota,179,5,1191,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e6/40/75/cinnamon-bentota-beach.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e6/40/75/cinnamon-bentota-beach.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e6/40/75/cinnamon-bentota-beach.jpg?w=1200&h=-1&s=3
Jetwing Lighthouse,Galle,210,4.5,2612,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/60/05/14/reception.jpg?w=1200&h=-1&s=3
Taj Bentota Resort & Spa,Bentota,183,4.5,3970,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3a/10/2a/pool-area.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3a/10/2a/pool-area.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3a/10/2a/pool-area.jpg?w=1200&h=-1&s=3
Le Grand Galle,Galle,173,4.5,1041,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3a/10/2a/pool-area.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3a/10/2a/pool-area.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/3a/10/2a/pool-area.jpg?w=1200&h=-1&s=3
DoubleTree by Hilton Weerawila Rajawarna Resort,Weerawila,96,4.5,353,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bb/2b/39/exterior.jpg?w=1100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bb/2b/39/exterior.jpg?w=1100&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bb/2b/39/exterior.jpg?w=1100&h=-1&s=3
The Spice House Mirissa,Mirissa,70,5,795,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/2d/45/36/the-spice-house-mirissa.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/2d/45/36/the-spice-house-mirissa.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/2d/45/36/the-spice-house-mirissa.jpg?w=1200&h=-1&s=3
Radisson Blu Resort Galle,Galle,125,4.5,2305,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ca/e1/c4/amari-galle-sri-lanka.jpg?w=1200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ca/e1/c4/amari-galle-sri-lanka.jpg?w=1200&h=-1&s=2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ca/e1/c4/amari-galle-sri-lanka.jpg?w=1200&h=-1&s=3
